sku,Size,Paper,weight,Wildcard,Cover,Page,Turnaround,50,100,150,200,250,300
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 Days,6,12,18,24,30,36
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 Days,12,24,36,48,60,72
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,18,36,54,72,90,108
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,24,48,72,96,120,144
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,30,60,90,120,150,180
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,36,72,108,144,180,216
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,42,84,126,168,210,252
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,48,96,144,192,240,288
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,54,108,162,216,270,324
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,60,120,180,240,300,360
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,66,132,198,264,330,396
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,72,144,216,288,360,432
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,78,156,234,312,390,468
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,84,168,252,336,420,504
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,90,180,270,360,450,540
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,96,192,288,384,480,576
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,102,204,306,408,510,612
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,108,216,324,432,540,648
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,114,228,342,456,570,684
shortrunblackwhitebooks,8.5x11,100# Gloss Book,0,null,null,null,2-3 day,120,240,360,480,600,720
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 Days,6,12,18,24,30,36
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 Days,12,24,36,48,60,72
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,18,36,54,72,90,108
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,24,48,72,96,120,144
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,30,60,90,120,150,180
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,36,72,108,144,180,216
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,42,84,126,168,210,252
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,48,96,144,192,240,288
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,54,108,162,216,270,324
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,60,120,180,240,300,360
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,66,132,198,264,330,396
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,72,144,216,288,360,432
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,78,156,234,312,390,468
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,84,168,252,336,420,504
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,90,180,270,360,450,540
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,96,192,288,384,480,576
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,102,204,306,408,510,612
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,108,216,324,432,540,648
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,114,228,342,456,570,684
shortrunblackwhitebooks,8.5x11,70# Offset Uncoated Text,0,null,null,null,2-3 day,120,240,360,480,600,720
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 Days,6,12,18,24,30,36
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 Days,12,24,36,48,60,72
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,18,36,54,72,90,108
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,24,48,72,96,120,144
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,30,60,90,120,150,180
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,36,72,108,144,180,216
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,42,84,126,168,210,252
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,48,96,144,192,240,288
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,54,108,162,216,270,324
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,60,120,180,240,300,360
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,66,132,198,264,330,396
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,72,144,216,288,360,432
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,78,156,234,312,390,468
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,84,168,252,336,420,504
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,90,180,270,360,450,540
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,96,192,288,384,480,576
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,102,204,306,408,510,612
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,108,216,324,432,540,648
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,114,228,342,456,570,684
shortrunblackwhitebooks,9x12,100# Gloss Book,0,null,null,null,2-3 day,120,240,360,480,600,720
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 Days,6,12,18,24,30,36
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 Days,12,24,36,48,60,72
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,18,36,54,72,90,108
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,24,48,72,96,120,144
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,30,60,90,120,150,180
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,36,72,108,144,180,216
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,42,84,126,168,210,252
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,48,96,144,192,240,288
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,54,108,162,216,270,324
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,60,120,180,240,300,360
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,66,132,198,264,330,396
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,72,144,216,288,360,432
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,78,156,234,312,390,468
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,84,168,252,336,420,504
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,90,180,270,360,450,540
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,96,192,288,384,480,576
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,102,204,306,408,510,612
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,108,216,324,432,540,648
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,114,228,342,456,570,684
shortrunblackwhitebooks,9x12,70# Offset Uncoated Text,0,null,null,null,2-3 day,120,240,360,480,600,720