sku,Size,Color,Paper,Turnaround,weight,Wildcard,Cover,Page,Folding,50,100,150,200,250,300
shortrunbrochures,8.5x11,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,none,19,38,57,76,95,114
shortrunbrochures,8.5x11,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Tri-Fold,19,38,57,76,95,114
shortrunbrochures,8.5x11,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Half-Fold,19,38,57,76,95,114
shortrunbrochures,8.5x11,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Z-Fold,19,38,57,76,95,114
shortrunbrochures,8.5x11,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,DoubleParallel,19,38,57,76,95,114
shortrunbrochures,8.5x11,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,4PanelAccordion-Fold,19,38,57,76,95,114
shortrunbrochures,8.5x11,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,4PanelRollFold,19,38,57,76,95,114
shortrunbrochures,8.5x11,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,QuarterFold,19,38,57,76,95,114
shortrunbrochures,8.5x11,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Map-Fold,19,38,57,76,95,114
shortrunbrochures,8.5x11,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Gate-Fold,19,38,57,76,95,114
shortrunbrochures,8.5x11,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,custom,19,38,57,76,95,114
shortrunbrochures,8.5x5.5,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,none,9.5,19,28.5,38,47.5,57
shortrunbrochures,8.5x5.5,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Tri-Fold,9.5,19,28.5,38,47.5,57
shortrunbrochures,8.5x5.5,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Half-Fold,9.5,19,28.5,38,47.5,57
shortrunbrochures,8.5x5.5,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Z-Fold,9.5,19,28.5,38,47.5,57
shortrunbrochures,8.5x5.5,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,DoubleParallel,9.5,19,28.5,38,47.5,57
shortrunbrochures,8.5x5.5,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,4PanelAccordion-Fold,9.5,19,28.5,38,47.5,57
shortrunbrochures,8.5x5.5,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,4PanelRollFold,9.5,19,28.5,38,47.5,57
shortrunbrochures,8.5x5.5,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,QuarterFold,9.5,19,28.5,38,47.5,57
shortrunbrochures,8.5x5.5,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Map-Fold,9.5,19,28.5,38,47.5,57
shortrunbrochures,8.5x5.5,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Gate-Fold,9.5,19,28.5,38,47.5,57
shortrunbrochures,8.5x5.5,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,custom,9.5,19,28.5,38,47.5,57
shortrunbrochures,11x17,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,none,32,64,96,128,160,192
shortrunbrochures,11x17,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Tri-Fold,32,64,96,128,160,192
shortrunbrochures,11x17,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Half-Fold,32,64,96,128,160,192
shortrunbrochures,11x17,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Z-Fold,32,64,96,128,160,192
shortrunbrochures,11x17,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,DoubleParallel,32,64,96,128,160,192
shortrunbrochures,11x17,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,4PanelAccordion-Fold,32,64,96,128,160,192
shortrunbrochures,11x17,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,4PanelRollFold,32,64,96,128,160,192
shortrunbrochures,11x17,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,QuarterFold,32,64,96,128,160,192
shortrunbrochures,11x17,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Map-Fold,32,64,96,128,160,192
shortrunbrochures,11x17,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Gate-Fold,32,64,96,128,160,192
shortrunbrochures,11x17,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,custom,32,64,96,128,160,192
shortrunbrochures,12x18,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,none,32,64,96,128,160,192
shortrunbrochures,12x18,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Tri-Fold,32,64,96,128,160,192
shortrunbrochures,12x18,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Half-Fold,32,64,96,128,160,192
shortrunbrochures,12x18,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Z-Fold,32,64,96,128,160,192
shortrunbrochures,12x18,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,DoubleParallel,32,64,96,128,160,192
shortrunbrochures,12x18,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,4PanelAccordion-Fold,32,64,96,128,160,192
shortrunbrochures,12x18,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,4PanelRollFold,32,64,96,128,160,192
shortrunbrochures,12x18,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,QuarterFold,32,64,96,128,160,192
shortrunbrochures,12x18,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Map-Fold,32,64,96,128,160,192
shortrunbrochures,12x18,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,Gate-Fold,32,64,96,128,160,192
shortrunbrochures,12x18,Full color 2 sides,100# Gloss Book,2-3 Days,0,null,null,null,custom,32,64,96,128,160,192