sku,Size ,Color,Page,weight,Paper,Turnaround,50,150,200,250,300,100
shortrunfullcolorcatalogs_d759b79c412d6e44bddc9a12c0e3a485,8.5x11,Full color 2 sides,4,null,100# Gloss Text,2-3 Days,30,90,120,150,180,60
shortrunfullcolorcatalogs_12f5f65ef6a519f2b957b157c1939f46,8.5x11,Full color 2 sides,8,null,100# Gloss Text,2-3 Days,60,180,240,300,360,120
shortrunfullcolorcatalogs_872d72401570be1fae066da87970e3bf,8.5x11,Full color 2 sides,12,null,100# Gloss Text,2-3 Days,90,270,360,450,540,180
shortrunfullcolorcatalogs_1a1e07febb3c5a4cd0238fb8bd172e78,8.5x11,Full color 2 sides,16,null,100# Gloss Text,2-3 Days,120,360,480,600,720,240
shortrunfullcolorcatalogs_8eff6dd826dc7165dd97823bed3bb60c,8.5x11,Full color 2 sides,20,null,100# Gloss Text,2-3 Days,150,450,600,750,900,300
shortrunfullcolorcatalogs_7c3116019b025808120d22523cc8da33,8.5x11,Full color 2 sides,24,null,100# Gloss Text,2-3 Days,180,540,720,900,1080,360
shortrunfullcolorcatalogs_8f54b1587e79eec4999c16f935f54059,8.5x11,Full color 2 sides,28,null,100# Gloss Text,2-3 Days,210,630,840,1050,1260,420
shortrunfullcolorcatalogs_c0765ed7ad7b6a1254c59a5f1f1d6b63,8.5x11,Full color 2 sides,32,null,100# Gloss Text,2-3 Days,240,720,960,1200,1440,480
shortrunfullcolorcatalogs_5a9634dc0dc8b8cbab3c142becc116aa,8.5x11,Full color 2 sides,36,null,100# Gloss Text,2-3 Days,270,810,1080,1350,1620,540
shortrunfullcolorcatalogs_44b634550602d461d7d7f2032afc585a,8.5x11,Full color 2 sides,40,null,100# Gloss Text,2-3 Days,300,900,1200,1500,1800,600
shortrunfullcolorcatalogs_c448f197bf7d21c64d4e875077b87af2,8.5x11,Full color 2 sides,44,null,100# Gloss Text,2-3 Days,330,990,1320,1650,1980,660
shortrunfullcolorcatalogs_1ea63ee00d4c4e371e69456ba871bc47,8.5x11,Full color 2 sides,48,null,100# Gloss Text,2-3 Days,360,1080,1440,1800,2160,720
shortrunfullcolorcatalogs_2ece29eb5d40e6c1bafc4facfc841800,8.5x11,Full color 2 sides,52,null,100# Gloss Text,2-3 Days,390,1170,1560,1950,2340,780
shortrunfullcolorcatalogs_1a60f1f56e341d2881a992a39bc39c64,8.5x11,Full color 2 sides,56,null,100# Gloss Text,2-3 Days,420,1260,1680,2100,2520,840
shortrunfullcolorcatalogs_18d9142776b87b56b0b80537fa75beb6,8.5x11,Full color 2 sides,60,null,100# Gloss Text,2-3 Days,450,1350,1800,2250,2700,900
shortrunfullcolorcatalogs_77676556e7ea13ac1a302818a2a33ae8,8.5x11,Full color 2 sides,64,null,100# Gloss Text,2-3 Days,480,1440,1920,2400,2880,960
shortrunfullcolorcatalogs_d1f0e271feb6cf5288e477ffa9a52e47,8.5x11,Full color 2 sides,68,null,100# Gloss Text,2-3 Days,510,1530,2040,2550,3060,1020
shortrunfullcolorcatalogs_ab484da1a56805847bf049263d3fe3e1,8.5x11,Full color 2 sides,72,null,100# Gloss Text,2-3 Days,540,1620,2160,2700,3240,1080
shortrunfullcolorcatalogs_35bed09e9099ebbd55bf07a498015f57,8.5x11,Full color 2 sides,76,null,100# Gloss Text,2-3 Days,570,1710,2280,2850,3420,1140
shortrunfullcolorcatalogs_d24aa42752ed30c5e9b8f6d8396e366b,8.5x11,Full color 2 sides,80,null,100# Gloss Text,2-3 Days,600,1800,2400,3000,3600,1200
shortrunfullcolorcatalogs_0d0008045acb9d3a9935b798519fa272,9x12,Full color 2 sides,4,null,100# Gloss Text,2-3 Days,30,90,120,150,180,60
shortrunfullcolorcatalogs_ae2ba6cb15668f6d31ff39a4f56d2d4c,9x12,Full color 2 sides,8,null,100# Gloss Text,2-3 Days,60,180,240,300,360,120
shortrunfullcolorcatalogs_891e3758b77c9c48e39ac180874e62f2,9x12,Full color 2 sides,12,null,100# Gloss Text,2-3 Days,90,270,360,450,540,180
shortrunfullcolorcatalogs_174091db9ad6d4369148eaffc3169f98,9x12,Full color 2 sides,16,null,100# Gloss Text,2-3 Days,120,360,480,600,720,240
shortrunfullcolorcatalogs_60a05c5da44f3fd2f2999236d01a3f21,9x12,Full color 2 sides,20,null,100# Gloss Text,2-3 Days,150,450,600,750,900,300
shortrunfullcolorcatalogs_03a7ee561b8ce1b18e98d382d5712561,9x12,Full color 2 sides,24,null,100# Gloss Text,2-3 Days,180,540,720,900,1080,360
shortrunfullcolorcatalogs_459f901dd60f0acc97c7a4deff7dc2ea,9x12,Full color 2 sides,28,null,100# Gloss Text,2-3 Days,210,630,840,1050,1260,420
shortrunfullcolorcatalogs_c2ce4b5a9d4259ecfcd9a74579c937d9,9x12,Full color 2 sides,32,null,100# Gloss Text,2-3 Days,240,720,960,1200,1440,480
shortrunfullcolorcatalogs_03d1e0b0a02d356399abd91bef7eaaa2,9x12,Full color 2 sides,36,null,100# Gloss Text,2-3 Days,270,810,1080,1350,1620,540
shortrunfullcolorcatalogs_a4259055aa44138d85ba0770e80d2935,9x12,Full color 2 sides,40,null,100# Gloss Text,2-3 Days,300,900,1200,1500,1800,600
shortrunfullcolorcatalogs_bee6ab432b31368bc8bc281865c62f0d,9x12,Full color 2 sides,44,null,100# Gloss Text,2-3 Days,330,990,1320,1650,1980,660
shortrunfullcolorcatalogs_18e5ee8037fb8493f996af4dbe7669d7,9x12,Full color 2 sides,48,null,100# Gloss Text,2-3 Days,360,1080,1440,1800,2160,720
shortrunfullcolorcatalogs_8f072b92a3ddb8936b0cafae653c4eef,9x12,Full color 2 sides,52,null,100# Gloss Text,2-3 Days,390,1170,1560,1950,2340,780
shortrunfullcolorcatalogs_8af6f08d6267f6324f29a4bb188030d0,9x12,Full color 2 sides,56,null,100# Gloss Text,2-3 Days,420,1260,1680,2100,2520,840
shortrunfullcolorcatalogs_2321432be1d040d16733bbd30a6f1034,9x12,Full color 2 sides,60,null,100# Gloss Text,2-3 Days,450,1350,1800,2250,2700,900
shortrunfullcolorcatalogs_ea32784604a0375855ce1f5a4fc4898a,9x12,Full color 2 sides,64,null,100# Gloss Text,2-3 Days,480,1440,1920,2400,2880,960
shortrunfullcolorcatalogs_044bdb70feb6cbf4af119d2f18b6232a,9x12,Full color 2 sides,68,null,100# Gloss Text,2-3 Days,510,1530,2040,2550,3060,1020
shortrunfullcolorcatalogs_ed1035e7f1e23ddc38de54245e982160,9x12,Full color 2 sides,72,null,100# Gloss Text,2-3 Days,540,1620,2160,2700,3240,1080
shortrunfullcolorcatalogs_5b380336468f7e4035939ee4da4ae62a,9x12,Full color 2 sides,76,null,100# Gloss Text,2-3 Days,570,1710,2280,2850,3420,1140
shortrunfullcolorcatalogs_b52cc11cfdf079f26f4b8de176e86098,9x12,Full color 2 sides,80,null,100# Gloss Text,2-3 Days,600,1800,2400,3000,3600,1200
